[2020-09-16 15:58:15,573][werkzeug][INFO] -  * Running on http://127.0.0.1:8081/ (Press CTRL+C to quit)
[2020-09-16 16:01:39,666][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:39] "[37mGET /get_label_value_on_image/person/1300576__0722__09_29_06_PC_______.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:39,674][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:39] "[37mGET /marked_image/1300576__0722__09_29_06_PC_______.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:41,215][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:41] "[37mGET /get_label_value_on_image/person/0813__08_41_52__i0655625__gcn1597297309246829__1597297309246829__person__P2_______.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:41,223][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:41] "[37mGET /marked_image/0813__08_41_52__i0655625__gcn1597297309246829__1597297309246829__person__P2_______.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:42,716][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:42] "[37mGET /get_label_value_on_image/person/0813__16_50_57__i0949118__gcn1597326650967979__1597326655250956__multy_____L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:42,726][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:42] "[37mGET /marked_image/0813__16_50_57__i0949118__gcn1597326650967979__1597326655250956__multy_____L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:45,247][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:45] "[37mGET /get_label_value_on_image/person/0813__16_58_42__i0953775__gcn1597327119369017__1597327120479797__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:45,257][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:45] "[37mGET /marked_image/0813__16_58_42__i0953775__gcn1597327119369017__1597327120479797__person___________.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:46,999][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:46] "[37mGET /get_label_value_on_image/person/0818__18_41_43__i0002626__gcn1597765293316016__1597765300112849__person_____L1____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:47,004][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:47] "[37mGET /marked_image/0818__18_41_43__i0002626__gcn1597765293316016__1597765300112849__person_____L1____.png HTTP/1.1[0m" 200 -
[2020-09-16 16:01:48,984][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 16:01:48] "[37mGET /set_value/0818__18_41_43__i0002626__gcn1597765293316016__1597765300112849__person_____L1____.png/person/non_clear HTTP/1.1[0m" 200 -
